datetime,GHI_actual,GHI_predicted
2024-06-22 19:15:00,0.0,5.814338604728878
2024-06-22 19:30:00,0.13,76.33628040539601
2024-06-22 19:45:00,1.2,1.0024211662658569
2024-06-22 20:00:00,0.4,23.22405224954486
2024-06-22 20:15:00,0.07,30.120012195650745
2024-06-22 20:30:00,3.33,40.24432851105091
2024-06-22 20:45:00,3.07,100.68013350570499
2024-06-22 21:00:00,7.2,95.36972519565983
2024-06-22 21:15:00,19.87,147.55740007739985
2024-06-22 21:30:00,54.73,110.56466409143042
2024-06-22 21:45:00,70.73,217.6980506209069
2024-06-22 22:00:00,146.73,217.51974092522468
2024-06-22 22:15:00,285.73,275.2507284988324
2024-06-22 22:30:00,267.27,324.8415078742286
2024-06-22 22:45:00,342.13,331.99529905033614
2024-06-22 23:00:00,368.27,379.2078703262633
2024-06-22 23:15:00,522.93,343.0157967404354
2024-06-22 23:30:00,702.07,291.8538484124589
2024-06-22 23:45:00,699.6,436.10788304396596
2024-06-23 00:00:00,617.4,468.4173159681451
2024-06-23 00:15:00,751.8,507.08390657685175
2024-06-23 00:30:00,729.93,612.0570829019152
2024-06-23 00:45:00,805.07,589.2990845482489
2024-06-23 01:00:00,0.0,58.29535134262158
2024-06-23 01:15:00,0.0,-6.272056363828351
2024-06-23 01:30:00,0.0,43.56208681915818
2024-06-23 01:45:00,0.0,59.48418674272648
2024-06-23 02:00:00,0.0,-15.250102952419232
2024-06-23 02:15:00,0.0,0.4028704489913555
2024-06-23 02:30:00,0.33,39.168711677644595
2024-06-23 02:45:00,11.13,35.57614937245323
2024-06-23 03:00:00,38.07,41.282202598179865
2024-06-23 03:15:00,79.33,-32.11513256512693
2024-06-23 03:30:00,123.13,68.75398700754266
2024-06-23 03:45:00,154.8,80.5596275553473
2024-06-23 04:00:00,209.6,143.8494728070312
2024-06-23 04:15:00,284.53,107.50991618868761
2024-06-23 04:30:00,292.8,171.94083210364676
2024-06-23 04:45:00,344.13,229.2718574215854
2024-06-23 05:00:00,416.13,195.55177915542725
2024-06-23 05:15:00,488.8,230.27768093799875
2024-06-23 05:30:00,469.27,356.36898906339144
2024-06-23 05:45:00,538.2,388.97594064820385
2024-06-23 06:00:00,649.0,321.41826919451097
2024-06-23 06:15:00,471.13,309.5193141083755
2024-06-23 06:30:00,238.6,541.16705965622
2024-06-23 06:45:00,331.13,316.15640490215816
2024-06-23 07:00:00,474.07,317.27663907353406
2024-06-23 07:15:00,632.07,342.1770608474474
2024-06-23 07:30:00,730.6,371.23332919048323
2024-06-23 07:45:00,735.6,270.9764722549323
2024-06-23 08:00:00,0.0,10.302769590163836
2024-06-23 08:15:00,0.0,-5.746307709815413
2024-06-23 08:30:00,0.0,-7.846233324912695
2024-06-23 08:45:00,0.0,21.644829229708634
2024-06-23 09:00:00,0.0,-10.186224192343024
2024-06-23 09:15:00,0.0,3.1147309412273936
2024-06-23 09:30:00,0.0,2.5180822664546456
2024-06-23 09:45:00,3.47,2.8560395852409868
2024-06-23 10:00:00,16.67,47.08106933737108
2024-06-23 10:15:00,23.07,-6.832084493672695
2024-06-23 10:30:00,29.87,80.39340180446241
2024-06-23 10:45:00,68.6,117.71788082698875
2024-06-23 11:00:00,127.2,136.10248131872302
2024-06-23 11:15:00,94.13,77.40598938169344
2024-06-23 11:30:00,91.67,113.21046912672871
2024-06-23 11:45:00,122.73,279.9346053532932
2024-06-23 12:00:00,230.13,200.8291172850489
2024-06-23 12:15:00,219.67,251.1499633962614
2024-06-23 12:30:00,330.07,310.2986651023163
2024-06-23 12:45:00,243.73,301.9569970046215
2024-06-23 13:00:00,375.07,398.5446990097669
2024-06-23 13:15:00,403.27,454.4017550978835
2024-06-23 13:30:00,523.0,138.2706785394474
2024-06-23 13:45:00,357.47,309.64092576199874
2024-06-23 14:00:00,392.67,349.1137475275501
2024-06-23 14:15:00,201.27,519.9999749334685
2024-06-23 14:30:00,149.27,236.50403051715628
2024-06-23 14:45:00,136.53,482.4002877886477
2024-06-23 15:00:00,0.0,29.386573032459125
2024-06-23 15:15:00,0.0,33.588128454377504
2024-06-23 15:30:00,0.0,0.5096287148759029
2024-06-23 15:45:00,0.0,46.080917611469715
2024-06-23 16:00:00,0.0,3.905062864459327
2024-06-23 16:15:00,0.0,29.31328463658994
2024-06-23 16:30:00,0.0,-10.511434614916936
2024-06-23 16:45:00,0.07,22.06621552380879
2024-06-23 17:00:00,3.8,47.45192609793474
2024-06-23 17:15:00,18.93,13.266859307540077
2024-06-23 17:30:00,37.4,21.961780244618094
2024-06-23 17:45:00,46.67,154.09276397655418
2024-06-23 18:00:00,76.33,102.51097917811994
2024-06-23 18:15:00,98.33,215.3796831470369
2024-06-23 18:30:00,113.53,177.06275221668778
2024-06-23 18:45:00,154.6,320.88924004998375
2024-06-23 19:00:00,183.4,237.86085770526273
2024-06-23 19:15:00,249.0,275.44625987129115
2024-06-23 19:30:00,356.4,262.2301465799547
2024-06-23 19:45:00,631.53,311.64477143948443
2024-06-23 20:00:00,647.87,372.97198591920693
2024-06-23 20:15:00,863.93,443.19479660950685
2024-06-23 20:30:00,951.93,430.81324052109477
2024-06-23 20:45:00,909.13,502.8551848722216
2024-06-23 21:00:00,1006.8,367.67766277224376
2024-06-23 21:15:00,817.33,292.4911949379154
2024-06-23 21:30:00,609.0,285.5042123507663
2024-06-23 21:45:00,712.2,312.07177899735126
2024-06-23 22:00:00,0.0,29.137726208593005
2024-06-23 22:15:00,0.0,10.230694565045681
2024-06-23 22:30:00,0.0,51.35823279946083
2024-06-23 22:45:00,0.0,36.237442417934275
2024-06-23 23:00:00,0.0,20.390868814469805
2024-06-23 23:15:00,0.0,24.736245944834177
2024-06-23 23:30:00,0.8,1.966341208743519
2024-06-23 23:45:00,7.53,14.561982885660525
2024-06-24 00:00:00,24.73,5.798290662619706
2024-06-24 00:15:00,53.33,22.94232301754215
2024-06-24 00:30:00,106.67,30.167954081405547
2024-06-24 00:45:00,199.47,107.87452771722776
2024-06-24 01:00:00,301.53,135.0889649692157
2024-06-24 01:15:00,209.33,166.1799044795483
2024-06-24 01:30:00,208.4,206.71342467122997
2024-06-24 01:45:00,265.33,219.01501080743222
2024-06-24 02:00:00,358.53,157.38413980788943
2024-06-24 02:15:00,241.4,176.10505864662855
2024-06-24 02:30:00,239.4,119.48026167948329
2024-06-24 02:45:00,284.87,340.6618149189087
2024-06-24 03:00:00,404.2,404.3792295069429
2024-06-24 03:15:00,586.87,325.8969513836363
2024-06-24 03:30:00,324.67,434.12763778667403
2024-06-24 03:45:00,682.47,421.88881046830267
2024-06-24 04:00:00,754.2,535.4497722794029
2024-06-24 04:15:00,941.07,487.75350501245805
2024-06-24 04:30:00,966.67,329.4952914642623
2024-06-24 04:45:00,892.4,452.3980129783587
2024-06-24 05:00:00,0.0,25.10176291165149
2024-06-24 05:15:00,0.0,11.666376016185348
2024-06-24 05:30:00,0.0,6.048504038286355
2024-06-24 05:45:00,0.0,-6.795113524697431
2024-06-24 06:00:00,0.0,-5.330211198477902
2024-06-24 06:15:00,0.0,10.708278844802267
2024-06-24 06:30:00,0.07,-2.3657665482162127
2024-06-24 06:45:00,8.8,36.291560157734494
2024-06-24 07:00:00,43.0,50.60404924993751
2024-06-24 07:15:00,105.33,31.285911602670012
2024-06-24 07:30:00,153.8,29.400910905298517
2024-06-24 07:45:00,153.87,73.99139900626552
2024-06-24 08:00:00,184.0,100.82808127886936
2024-06-24 08:15:00,213.0,117.11149048418808
2024-06-24 08:30:00,200.4,92.35327930972039
2024-06-24 08:45:00,107.87,216.3473311687611
2024-06-24 09:00:00,108.73,183.1335661906646
2024-06-24 09:15:00,141.47,215.67706717241074
2024-06-24 09:30:00,253.47,324.85855753007036
2024-06-24 09:45:00,415.87,242.25399471349556
2024-06-24 10:00:00,280.73,207.55416297512866
2024-06-24 10:15:00,482.2,168.93505692306343
2024-06-24 10:30:00,529.6,285.91322320236634
2024-06-24 10:45:00,295.47,374.9768106061323
2024-06-24 11:00:00,415.07,315.6164588815415
2024-06-24 11:15:00,808.47,360.4427625714009
2024-06-24 11:30:00,570.33,302.027572662901
2024-06-24 11:45:00,351.53,260.1440042666748
2024-06-24 12:00:00,0.0,87.69279558535561
2024-06-24 12:15:00,0.0,27.563275484791344
2024-06-24 12:30:00,0.0,15.120404865502183
2024-06-24 12:45:00,0.0,-7.756441824016239
2024-06-24 13:00:00,0.0,-14.90970263440388
2024-06-24 13:15:00,0.0,31.994326211894002
2024-06-24 13:30:00,0.0,16.101371938279133
2024-06-24 13:45:00,0.0,45.02251476990652
2024-06-24 14:00:00,3.2,65.3630227020903
2024-06-24 14:15:00,10.73,15.47760963656695
2024-06-24 14:30:00,15.47,96.78141462306716
2024-06-24 14:45:00,22.4,168.95717091808532
2024-06-24 15:00:00,32.0,190.97546855409723
2024-06-24 15:15:00,51.4,177.67293610638436
2024-06-24 15:30:00,95.07,266.7263234894355
2024-06-24 15:45:00,156.33,187.43707877871154
2024-06-24 16:00:00,232.4,239.01143077090873
2024-06-24 16:15:00,268.87,277.85141159870625
2024-06-24 16:30:00,200.73,359.5360275188921
2024-06-24 16:45:00,281.53,500.32519895379687
2024-06-24 17:00:00,330.93,479.9280675977547
2024-06-24 17:15:00,499.87,326.6103094737146
2024-06-24 17:30:00,524.93,405.607630084351
2024-06-24 17:45:00,522.67,332.93518908580177
2024-06-24 18:00:00,612.47,327.47424894113567
2024-06-24 18:15:00,898.93,422.2982598566745
2024-06-24 18:30:00,938.87,536.1526634988957
2024-06-24 18:45:00,927.13,331.713910592652
2024-06-24 19:00:00,0.0,-7.390056879095756
2024-06-24 19:15:00,0.0,36.37956660743953
2024-06-24 19:30:00,0.0,69.11769330952949
2024-06-24 19:45:00,0.0,94.47154593996919
2024-06-24 20:00:00,0.0,-7.972249044916299
2024-06-24 20:15:00,0.0,26.857630744907308
2024-06-24 20:30:00,0.0,1.2100934320077021
2024-06-24 20:45:00,0.0,-16.438977906461933
2024-06-24 21:00:00,1.0,40.52861702049972
2024-06-24 21:15:00,6.87,87.72194141220403
2024-06-24 21:30:00,30.67,169.87288312262902
